id,url,image_name,link
BOT00515A,https://img.faballey.com/Images/Product/BOT00515A/1.jpg,Black Mustard Side Striped Jeggings ,https://www.faballey.com/black-mustard-side-striped-jeggings-109/prdt
BOT00478Z,https://img.faballey.com/Images/Product/BOT00478Z/1.jpg,Striped Wide Legged Pants - Pink,https://www.faballey.com/striped-wide-legged-pants-pink-79/prdt
BOT00563Z,https://img.faballey.com/Images/Product/BOT00563Z/1.jpg,Blue White Striped Wide Legged Pants ,https://www.faballey.com/blue-white-striped-wide-legged-pants-79/prdt
BOT00440A,https://img.faballey.com/Images/Product/BOT00440A/1.jpg,Black White Side Panel Buttoned Leggings,https://www.faballey.com/black-white-side-panel-buttoned-leggings-117/prdt
BOT00541Z,https://img.faballey.com/Images/Product/BOT00541Z/1.jpg,Oxblood Drawstring Jogger Pants,https://www.faballey.com/oxblood-drawstring-jogger-pants-320/prdt
BOT00560Z,https://img.faballey.com/Images/Product/BOT00560Z/1.jpg,Navy White Striped Wide Legged Pants ,https://www.faballey.com/navy-white-striped-wide-legged-pants-79/prdt
BOT00538Z,https://img.faballey.com/Images/Product/BOT00538Z/1.jpg,Black Printed Belted Palazzo Pants ,https://www.faballey.com/black-printed-belted-palazzo-pants-320/prdt
BOT00458A,https://img.faballey.com/Images/Product/BOT00458A/1.jpg,Black Buttoned Side Leggings,https://www.faballey.com/black-buttoned-side-leggings-117/prdt
BOT00552Z,https://img.faballey.com/Images/Product/BOT00552Z/1.jpg,Grey Straight Leg Jogger Pants ,https://www.faballey.com/grey-straight-leg-jogger-pants-79/prdt
BOT00473Z,https://img.faballey.com/Images/Product/BOT00473Z/1.jpg,Green Striped Trousers,https://www.faballey.com/green-striped-trousers-264/prdt
BOT00544Z,https://img.faballey.com/Images/Product/BOT00544Z/1.jpg,Black Straight Leg Pyjama Pants ,https://www.faballey.com/black-straight-leg-pyjama-pants-320/prdt
BOT00501Z,https://img.faballey.com/Images/Product/BOT00501Z/1.jpg,Wine Belted Formal Trousers ,https://www.faballey.com/wine-belted-formal-trousers-79/prdt
BOT00529Z,https://img.faballey.com/Images/Product/BOT00529Z/1.jpg,Wine Pinstriped Formal Pants ,https://www.faballey.com/wine-pinstriped-formal-pants-79/prdt
BOT00554Z,https://img.faballey.com/Images/Product/BOT00554Z/1.jpg,Navy Straight Leg Jogger Pants ,https://www.faballey.com/navy-straight-leg-jogger-pants-79/prdt
BOT00562Z,https://img.faballey.com/Images/Product/BOT00562Z/1.jpg,Rust Pleated Belted Pants ,https://www.faballey.com/rust-pleated-belted-pants-79/prdt
BOT00561Z,https://img.faballey.com/Images/Product/BOT00561Z/1.jpg,Beige Polka Pleated Belted Pants ,https://www.faballey.com/beige-polka-pleated-belted-pants-79/prdt
